# scene=bounce-circle krb=on dt=0.0166667 seconds=28800 sample_every=600 e0=340
t_s,ke,pe,e_total,e_over_e0,peak_height
13450,348.132,76.5396,424.671,1.24903,0.191349
13460,92.6624,198.672,291.335,0.856867,0.496681
13470,205.645,198.667,404.311,1.18915,0.496667
13480,194.43,76.5467,270.976,0.796989,0.191367
13490,85.1857,295.029,380.214,1.11828,0.737571
13500,363.086,-116.208,246.878,0.726111,-0.29052
13510,24.1358,335.724,359.86,1.05841,0.83931
13520,546.218,-319.693,226.525,0.666249,-0.799233
13530,0.0396283,335.718,335.757,0.987521,0.839294
13540,564.986,-116.243,448.744,1.31983,-0.290607
13550,20.3824,295.026,315.409,0.927672,0.737565
13560,348.071,76.5653,424.637,1.24893,0.191413
13570,92.6935,198.607,291.3,0.856765,0.496517
13580,205.691,198.601,404.292,1.18909,0.496502
13590,194.385,76.5724,270.957,0.796932,0.191431
13600,85.1558,295.024,380.18,1.11818,0.737559
13610,363.147,-116.304,246.843,0.726009,-0.290761
13620,24.1517,335.689,359.841,1.05835,0.839222
13630,546.142,-319.637,226.505,0.666192,-0.799092
13640,0.0402753,335.682,335.723,0.98742,0.839206
13650,565.063,-116.339,448.724,1.31978,-0.290848
13660,20.3678,295.021,315.389,0.927615,0.737553
13670,348.011,76.591,424.602,1.24883,0.191478
13680,92.7247,198.541,291.266,0.856663,0.496352
13690,205.738,198.535,404.273,1.18904,0.496338
13700,194.339,76.5982,270.938,0.796875,0.191495
13710,85.126,295.019,380.145,1.11807,0.737548
13720,363.209,-116.401,246.809,0.725907,-0.291001
13730,24.1676,335.654,359.821,1.0583,0.839134
13740,546.067,-319.581,226.486,0.666136,-0.798952
13750,0.0409275,335.647,335.688,0.987318,0.839118
13760,565.14,-116.436,448.705,1.31972,-0.291089
13770,20.3532,295.017,315.37,0.927558,0.737541
13780,347.951,76.6168,424.567,1.24873,0.191542
13790,92.7559,198.475,291.231,0.856561,0.496188
13800,205.784,198.469,404.253,1.18898,0.496173
13810,194.294,76.6239,270.918,0.796818,0.19156
13820,85.0961,295.014,380.11,1.11797,0.737536
13830,363.271,-116.497,246.774,0.725806,-0.291242
13840,24.1835,335.618,359.802,1.05824,0.839046
13850,545.991,-319.524,226.467,0.666079,-0.798811
13860,0.041585,335.612,335.653,0.987216,0.839029
13870,565.217,-116.532,448.686,1.31966,-0.29133
13880,20.3386,295.012,315.35,0.927501,0.73753
13890,347.89,76.6425,424.533,1.24863,0.191606
13900,92.787,198.409,291.196,0.85646,0.496023
13910,205.831,198.403,404.234,1.18892,0.496009
13920,194.249,76.6497,270.899,0.796761,0.191624
13930,85.0662,295.009,380.076,1.11787,0.737524
13940,363.332,-116.593,246.739,0.725704,-0.291483
13950,24.1994,335.583,359.782,1.05818,0.838957
13960,545.915,-319.468,226.447,0.666021,-0.79867
13970,0.0422477,335.577,335.619,0.987114,0.838941
13980,565.294,-116.628,448.666,1.31961,-0.29157
13990,20.324,295.007,315.331,0.927444,0.737518
14000,347.83,76.6683,424.498,1.24852,0.191671
14010,92.8182,198.343,291.162,0.856358,0.495859
