# scene=floor-bounce krb=on dt=0.0166667 seconds=600 sample_every=60 e0=90 velocity_iterations=8 position_iterations=3 meter=translational engine=gearbox2d
engine,t_s,e_over_e0
gearbox2d,301,1.00309
gearbox2d,302,0.993827
gearbox2d,303,1.00941
gearbox2d,304,1.00015
gearbox2d,305,0.990895
gearbox2d,306,1.00648
gearbox2d,307,0.997222
gearbox2d,308,0.987963
gearbox2d,309,1.00355
gearbox2d,310,0.99429
gearbox2d,311,1.00988
gearbox2d,312,1.00062
gearbox2d,313,0.991358
gearbox2d,314,1.00694
gearbox2d,315,0.997685
gearbox2d,316,0.988427
gearbox2d,317,1.00432
gearbox2d,318,0.995062
gearbox2d,319,1.01065
gearbox2d,320,1.00139
gearbox2d,321,0.992129
gearbox2d,322,1.00772
gearbox2d,323,0.998457
gearbox2d,324,0.989198
gearbox2d,325,1.00478
gearbox2d,326,0.995524
gearbox2d,327,1.01142
gearbox2d,328,1.00216
gearbox2d,329,0.992901
gearbox2d,330,1.00849
gearbox2d,331,0.999228
gearbox2d,332,0.989969
gearbox2d,333,1.00556
gearbox2d,334,0.996296
gearbox2d,335,1.01188
gearbox2d,336,1.00262
gearbox2d,337,0.993364
gearbox2d,338,1.00895
gearbox2d,339,0.999691
gearbox2d,340,0.990432
gearbox2d,341,1.00602
gearbox2d,342,0.996759
gearbox2d,343,0.987501
gearbox2d,344,1.00339
gearbox2d,345,0.994136
gearbox2d,346,1.00972
gearbox2d,347,1.00046
gearbox2d,348,0.991203
gearbox2d,349,1.00679
gearbox2d,350,0.997531
gearbox2d,351,0.988272
gearbox2d,352,1.00386
gearbox2d,353,0.994598
gearbox2d,354,1.01049
gearbox2d,355,1.00123
gearbox2d,356,0.991975
gearbox2d,357,1.00756
gearbox2d,358,0.998302
gearbox2d,359,0.989043
gearbox2d,360,1.00463
gearbox2d,361,0.99537
gearbox2d,362,1.01096
gearbox2d,363,1.0017
gearbox2d,364,0.992438
gearbox2d,365,1.00802
gearbox2d,366,0.998765
gearbox2d,367,0.989506
gearbox2d,368,1.00509
gearbox2d,369,0.995833
gearbox2d,370,1.01173
gearbox2d,371,1.00247
gearbox2d,372,0.993209
gearbox2d,373,1.0088
gearbox2d,374,0.999537
gearbox2d,375,0.990278
gearbox2d,376,1.00586
gearbox2d,377,0.996605
gearbox2d,378,1.01219
gearbox2d,379,1.00293
gearbox2d,380,0.993672
gearbox2d,381,1.00957
gearbox2d,382,1.00031
gearbox2d,383,0.991049
gearbox2d,384,1.00664
gearbox2d,385,0.997376
gearbox2d,386,0.988117
gearbox2d,387,1.0037
gearbox2d,388,0.994444
gearbox2d,389,1.01003
gearbox2d,390,1.00077
gearbox2d,391,0.991512
gearbox2d,392,1.0071
gearbox2d,393,0.997839
gearbox2d,394,0.988581
gearbox2d,395,1.00417
gearbox2d,396,0.994907
gearbox2d,397,1.0108
gearbox2d,398,1.00154
gearbox2d,399,0.992284
gearbox2d,400,1.00787
gearbox2d,401,0.998611
gearbox2d,402,0.989352
gearbox2d,403,1.00494
gearbox2d,404,0.995679
gearbox2d,405,1.01127
gearbox2d,406,1.00201
gearbox2d,407,0.992746
gearbox2d,408,1.00864
gearbox2d,409,0.999382
gearbox2d,410,0.990124
gearbox2d,411,1.00571
gearbox2d,412,0.99645
gearbox2d,413,1.01204
gearbox2d,414,1.00278
gearbox2d,415,0.993518
gearbox2d,416,1.0091
gearbox2d,417,0.999845
gearbox2d,418,0.990586
gearbox2d,419,1.00617
gearbox2d,420,0.996913
gearbox2d,421,0.987655
gearbox2d,422,1.00324
gearbox2d,423,0.993981
gearbox2d,424,1.00988
gearbox2d,425,1.00062
gearbox2d,426,0.991358
gearbox2d,427,1.00694
gearbox2d,428,0.997685
gearbox2d,429,0.988426
gearbox2d,430,1.00401
gearbox2d,431,0.994753
gearbox2d,432,1.01034
gearbox2d,433,1.00108
gearbox2d,434,0.991821
gearbox2d,435,1.00772
gearbox2d,436,0.998456
gearbox2d,437,0.989198
gearbox2d,438,1.00478
gearbox2d,439,0.995524
gearbox2d,440,1.01111
gearbox2d,441,1.00185
gearbox2d,442,0.992592
gearbox2d,443,1.00818
gearbox2d,444,0.998919
gearbox2d,445,0.989661
gearbox2d,446,1.00525
gearbox2d,447,0.995988
gearbox2d,448,1.01157
gearbox2d,449,1.00231
gearbox2d,450,0.993055
gearbox2d,451,1.00895
gearbox2d,452,0.999691
gearbox2d,453,0.990432
gearbox2d,454,1.00602
gearbox2d,455,0.996759
gearbox2d,456,1.01235
gearbox2d,457,1.00309
gearbox2d,458,0.993827
gearbox2d,459,1.00941
gearbox2d,460,1.00015
gearbox2d,461,0.990895
gearbox2d,462,1.00679
gearbox2d,463,0.997531
gearbox2d,464,0.988272
gearbox2d,465,1.00386
gearbox2d,466,0.994598
gearbox2d,467,1.01019
gearbox2d,468,1.00093
gearbox2d,469,0.991666
gearbox2d,470,1.00725
gearbox2d,471,0.997993
gearbox2d,472,0.988735
gearbox2d,473,1.00432
gearbox2d,474,0.995062
gearbox2d,475,1.01065
gearbox2d,476,1.00139
gearbox2d,477,0.992129
gearbox2d,478,1.00802
gearbox2d,479,0.998765
gearbox2d,480,0.989506
gearbox2d,481,1.00509
gearbox2d,482,0.995833
gearbox2d,483,1.01142
gearbox2d,484,1.00216
gearbox2d,485,0.992901
gearbox2d,486,1.00849
gearbox2d,487,0.999228
gearbox2d,488,0.989969
gearbox2d,489,1.00586
gearbox2d,490,0.996605
gearbox2d,491,1.01219
gearbox2d,492,1.00293
gearbox2d,493,0.993672
gearbox2d,494,1.00926
gearbox2d,495,1
gearbox2d,496,0.99074
gearbox2d,497,1.00633
gearbox2d,498,0.997068
gearbox2d,499,0.987809
gearbox2d,500,1.00339
gearbox2d,501,0.994136
gearbox2d,502,1.00972
gearbox2d,503,1.00046
gearbox2d,504,0.991204
gearbox2d,505,1.0071
gearbox2d,506,0.997839
gearbox2d,507,0.988581
gearbox2d,508,1.00417
gearbox2d,509,0.994907
